@RELATION svm_King_UBM_4000x2s
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {UBM_King,King, Martin Luther}

@DATA
0.103014,0.004214,3.117897,0.175581,0.187358,0.948106,0.009517,0.158879,-28.202300,2.273713,-0.441762,0.492983,-0.233610,-0.101949,-0.285280,-0.205100,-0.208705,0.085956,-0.124026,-0.045552,-0.076331,0.023750,0.006092,0.024809,0.018937,0.024821,0.022890,0.022736,0.004270,0.014127,0.018352,0.019941,0.008170,0.017974,0.039930,0.004968,0.166124,0.036158,0.021287,0.389836,0.006210,0.075356,1.284548,0.542113,0.461525,0.256148,0.282582,0.260441,0.249093,0.235544,0.197334,0.202093,0.165134,0.175679,0.161621,0.020672,0.006453,0.020914,0.017459,0.021575,0.021771,0.018309,0.005104,0.014425,0.013967,0.014682,0.008820,0.007625,UBM_King
0.109104,0.034970,3.104691,0.191681,0.194730,0.791176,0.015794,0.167398,-24.303106,2.363147,-0.417591,-0.107773,-0.120768,0.101751,0.074735,0.130758,-0.131439,-0.066742,-0.146429,-0.140021,-0.151772,0.021202,0.008773,0.025173,0.013607,0.018135,0.010701,0.031635,0.007130,0.011379,0.021187,0.022471,0.005106,0.023403,0.067435,0.026341,0.220680,0.065378,0.035830,0.540851,0.010515,0.135199,1.524974,0.775311,0.850146,0.531133,0.435242,0.372073,0.313183,0.273345,0.276712,0.255467,0.247265,0.255436,0.256388,0.025422,0.013736,0.025942,0.016631,0.020625,0.015219,0.033785,0.013690,0.016856,0.022580,0.025406,0.007142,0.011492,UBM_King
0.121176,0.049758,2.915833,0.209774,0.202039,0.769682,0.015270,0.179428,-27.230825,2.187539,0.582447,0.174588,0.016943,0.208167,-0.069583,-0.004672,0.020753,-0.109561,-0.090689,0.003646,-0.062984,0.022742,0.003651,0.030130,0.016585,0.028420,0.009901,0.023359,0.002081,0.005716,0.015968,0.041546,0.003908,0.026398,0.110950,0.053851,0.419181,0.103458,0.035355,0.699170,0.011607,0.190428,3.499318,1.139451,0.764272,0.447206,0.428529,0.336171,0.290867,0.263144,0.260770,0.239203,0.219313,0.199258,0.196455,0.028798,0.005403,0.031952,0.022987,0.029335,0.014455,0.024432,0.003920,0.008003,0.017744,0.033952,0.005560,0.013022,UBM_King
0.092543,0.024240,3.073933,0.166947,0.179336,0.639692,0.014044,0.129060,-26.368069,2.559988,-0.268625,-0.210752,-0.323282,0.058450,-0.099003,0.015874,-0.025224,-0.035335,-0.065057,0.054111,-0.033801,0.015571,0.008996,0.023882,0.021750,0.025939,0.015893,0.024775,0.005678,0.018294,0.016434,0.015376,0.008829,0.022639,0.045827,0.024056,0.260657,0.049422,0.031310,0.392371,0.008681,0.090814,2.117721,0.626688,0.686474,0.420593,0.363685,0.313744,0.280617,0.265032,0.258733,0.227186,0.215708,0.212877,0.197539,0.016543,0.011217,0.023498,0.024387,0.026454,0.020382,0.024554,0.009140,0.019946,0.014765,0.014635,0.011269,0.010566,UBM_King
0.090858,0.004747,2.985179,0.179832,0.193407,0.592572,0.013290,0.133825,-29.239534,2.575341,0.517494,0.235133,-0.060012,0.159401,-0.004694,-0.179833,-0.376024,-0.123722,-0.188039,-0.251082,-0.187215,0.046172,0.003199,0.038686,0.025289,0.021244,0.010389,0.017793,0.003777,0.004613,0.027905,0.039307,0.003143,0.027141,0.072113,0.006181,0.241528,0.068153,0.031805,0.499964,0.008698,0.127651,2.289114,0.780062,0.706037,0.382943,0.387912,0.294090,0.288142,0.259714,0.259966,0.234111,0.202123,0.182573,0.173584,0.041190,0.004530,0.035732,0.024045,0.018800,0.011105,0.014319,0.007138,0.005564,0.024133,0.032739,0.004258,0.010831,UBM_King
0.145728,0.012676,2.962394,0.230187,0.209567,0.974613,0.010072,0.228772,-27.474086,2.180599,0.285793,-0.391739,-0.881572,-0.216002,-0.125688,-0.111046,-0.053932,0.024961,-0.342470,-0.063759,0.037462,0.019578,0.013228,0.018976,0.018414,0.020794,0.018787,0.029557,0.001435,0.010723,0.014616,0.017979,0.011223,0.019517,0.080927,0.013896,0.300174,0.069470,0.025867,0.572037,0.006727,0.159907,2.169856,0.656140,0.601861,0.324824,0.407041,0.286528,0.305884,0.258856,0.254497,0.197085,0.233166,0.186698,0.186976,0.018329,0.016151,0.017055,0.019060,0.020778,0.021029,0.023705,0.001811,0.011807,0.014252,0.015860,0.013513,0.008898,UBM_King
0.109080,0.005567,3.027426,0.191211,0.192740,0.808898,0.011524,0.165480,-28.202788,2.343258,0.076165,-0.000483,-0.488952,-0.019553,0.048414,-0.083748,-0.195403,-0.086118,-0.175136,-0.003744,-0.031287,0.016658,0.007024,0.028957,0.043319,0.020596,0.018167,0.021636,0.003423,0.011361,0.011798,0.020303,0.010791,0.023338,0.062861,0.006848,0.263816,0.060213,0.031758,0.481475,0.006921,0.117701,2.204106,0.687787,0.703586,0.379338,0.393146,0.329543,0.283698,0.276781,0.265692,0.231641,0.206856,0.206496,0.196692,0.017650,0.009985,0.025136,0.039555,0.018643,0.021197,0.019312,0.005370,0.012378,0.011114,0.018613,0.013443,0.010498,UBM_King
0.066511,0.012886,2.990406,0.128414,0.155794,0.447447,0.016400,0.092871,-29.034555,3.181179,-1.088334,-0.060287,-0.530733,-0.217204,0.041409,-0.085971,-0.133509,0.133424,-0.137405,-0.139794,-0.174519,0.022980,0.015340,0.017514,0.014317,0.014506,0.013189,0.019497,0.005298,0.012852,0.016115,0.039575,0.015029,0.022576,0.015076,0.016602,0.337768,0.024558,0.033338,0.220330,0.010431,0.029470,2.771314,0.580771,0.582793,0.330890,0.380583,0.286914,0.307317,0.238828,0.234125,0.222642,0.216022,0.192084,0.183666,0.021861,0.018776,0.016726,0.016031,0.015501,0.014969,0.018027,0.007592,0.015277,0.017099,0.029559,0.019565,0.009426,UBM_King
0.101787,0.019111,3.037774,0.177191,0.182845,0.812015,0.009449,0.152346,-26.426554,2.368779,-0.224445,-0.068212,-0.498099,0.136860,-0.127823,0.068768,-0.123983,-0.048522,-0.154489,-0.060335,-0.033144,0.025140,0.008375,0.026939,0.018637,0.022460,0.015032,0.021863,0.004088,0.009982,0.019410,0.021841,0.010952,0.016842,0.036371,0.023174,0.247287,0.033567,0.020759,0.376872,0.005333,0.082342,1.573125,0.472370,0.474328,0.310779,0.348501,0.249291,0.238271,0.196497,0.209024,0.169295,0.189557,0.177752,0.172187,0.021253,0.008377,0.018920,0.015508,0.019186,0.013324,0.017059,0.005413,0.008711,0.015182,0.018744,0.012506,0.006983,UBM_King
0.133433,0.014278,2.862436,0.207418,0.193608,0.943207,0.013086,0.205617,-27.455231,2.253047,0.192260,0.083827,-0.307517,0.024327,0.010677,0.043562,-0.130235,0.037079,-0.109422,-0.034376,-0.145272,0.023408,0.006816,0.032967,0.022444,0.025555,0.012133,0.021291,0.003841,0.008058,0.016554,0.016834,0.006120,0.021404,0.107100,0.016299,0.459893,0.095402,0.033964,0.688829,0.009418,0.177852,2.895136,1.054208,0.777999,0.459619,0.421409,0.362087,0.319004,0.300604,0.268424,0.248033,0.223592,0.216200,0.208230,0.025849,0.009591,0.032083,0.025862,0.025534,0.015123,0.020783,0.006411,0.009536,0.015691,0.016543,0.008092,0.012572,UBM_King
