@RELATION svm_X_UBM_2215x2s
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {UBM_X,X, Malcolm}

@DATA
0.185824,0.006556,2.988122,0.280336,0.234028,1.219298,0.010112,0.319623,-29.854572,2.163016,0.350265,-0.332693,-0.082416,0.110162,-0.009979,0.041873,0.135263,0.141251,-0.153285,-0.016703,-0.110971,0.015668,0.006807,0.020322,0.014583,0.028477,0.007446,0.029327,0.002718,0.008993,0.018426,0.019473,0.008300,0.018251,0.103239,0.009083,0.335278,0.088873,0.027055,0.671665,0.007636,0.197857,2.525512,0.865192,0.596781,0.332619,0.386946,0.292067,0.250168,0.243038,0.236308,0.202281,0.196255,0.184771,0.180418,0.019098,0.009600,0.018441,0.014211,0.022308,0.008231,0.023712,0.003907,0.011814,0.019001,0.018092,0.011439,0.009215,UBM_X
0.105035,0.010124,2.973264,0.187212,0.199968,0.572200,0.014072,0.147534,-29.154324,3.059223,0.030267,-0.236050,-0.191255,0.143985,-0.020599,0.066866,0.164979,0.204399,-0.077209,-0.010052,-0.136498,0.014171,0.007742,0.021133,0.021635,0.046119,0.007092,0.026800,0.002798,0.008211,0.022555,0.023000,0.010525,0.021593,0.087855,0.012327,0.343223,0.082114,0.030207,0.534767,0.009407,0.154558,2.530183,0.792198,0.569462,0.335414,0.418691,0.311840,0.245791,0.233600,0.237558,0.212994,0.204855,0.175380,0.181996,0.015923,0.010227,0.017318,0.017842,0.029520,0.008637,0.019220,0.004251,0.009567,0.023739,0.019937,0.013984,0.008701,UBM_X
0.143571,0.015573,3.078609,0.220107,0.191051,1.258040,0.010170,0.240668,-27.491146,1.351159,-0.412317,-0.302006,-0.551830,0.285610,-0.209062,0.106702,-0.171501,-0.076927,-0.106667,-0.096332,-0.034125,0.013365,0.009374,0.013577,0.015206,0.016195,0.014660,0.015551,0.006081,0.010478,0.021011,0.013871,0.008439,0.016553,0.055285,0.017239,0.294737,0.049201,0.030123,0.454760,0.006542,0.102997,2.491181,0.677675,0.671071,0.384261,0.422796,0.324006,0.311581,0.266915,0.258560,0.252419,0.230136,0.221720,0.219969,0.014230,0.011118,0.013369,0.015946,0.016647,0.017587,0.016750,0.009105,0.013031,0.018688,0.014831,0.010593,0.008678,UBM_X
0.125185,0.008218,3.022332,0.214143,0.212999,0.900115,0.011198,0.198912,-28.281249,2.265335,0.464004,-0.104977,-0.377046,0.074041,-0.103814,-0.065768,-0.096896,0.057819,-0.139572,-0.028263,-0.081701,0.022284,0.007144,0.027010,0.026004,0.020391,0.014735,0.025148,0.004276,0.010925,0.018516,0.026486,0.009688,0.020730,0.058939,0.010634,0.262314,0.056358,0.028638,0.506703,0.007694,0.124572,2.304799,0.645109,0.608647,0.299499,0.362672,0.321782,0.291582,0.270681,0.236209,0.235351,0.202974,0.195229,0.188152,0.021304,0.010102,0.022980,0.027133,0.019344,0.017153,0.019312,0.006818,0.013304,0.017363,0.021847,0.012522,0.008676,UBM_X
0.103014,0.004214,3.117897,0.175581,0.187358,0.948106,0.009517,0.158879,-28.202300,2.273713,-0.441762,0.492983,-0.233610,-0.101949,-0.285280,-0.205100,-0.208705,0.085956,-0.124026,-0.045552,-0.076331,0.023750,0.006092,0.024809,0.018937,0.024821,0.022890,0.022736,0.004270,0.014127,0.018352,0.019941,0.008170,0.017974,0.039930,0.004968,0.166124,0.036158,0.021287,0.389836,0.006210,0.075356,1.284548,0.542113,0.461525,0.256148,0.282582,0.260441,0.249093,0.235544,0.197334,0.202093,0.165134,0.175679,0.161621,0.020672,0.006453,0.020914,0.017459,0.021575,0.021771,0.018309,0.005104,0.014425,0.013967,0.014682,0.008820,0.007625,UBM_X
0.129084,0.002019,2.960447,0.219137,0.208105,1.024163,0.009492,0.217251,-30.321833,2.178101,0.247431,0.091091,-0.376504,-0.057509,-0.055952,-0.031496,-0.115532,-0.157285,-0.059521,0.027332,-0.076808,0.030781,0.006893,0.027525,0.017878,0.021896,0.020106,0.026345,0.003808,0.009245,0.014126,0.019543,0.007897,0.020145,0.084820,0.002890,0.332945,0.082493,0.035186,0.634769,0.006096,0.174290,2.461751,0.776281,0.688801,0.406756,0.439421,0.343640,0.313184,0.270968,0.250601,0.217159,0.198744,0.187880,0.182474,0.029057,0.009355,0.025092,0.019135,0.018524,0.019712,0.020124,0.006238,0.008986,0.012480,0.017845,0.009313,0.010049,UBM_X
0.121176,0.049758,2.915833,0.209774,0.202039,0.769682,0.015270,0.179428,-27.230825,2.187539,0.582447,0.174588,0.016943,0.208167,-0.069583,-0.004672,0.020753,-0.109561,-0.090689,0.003646,-0.062984,0.022742,0.003651,0.030130,0.016585,0.028420,0.009901,0.023359,0.002081,0.005716,0.015968,0.041546,0.003908,0.026398,0.110950,0.053851,0.419181,0.103458,0.035355,0.699170,0.011607,0.190428,3.499318,1.139451,0.764272,0.447206,0.428529,0.336171,0.290867,0.263144,0.260770,0.239203,0.219313,0.199258,0.196455,0.028798,0.005403,0.031952,0.022987,0.029335,0.014455,0.024432,0.003920,0.008003,0.017744,0.033952,0.005560,0.013022,UBM_X
0.096743,0.031788,2.916846,0.197460,0.218826,0.534469,0.021621,0.140705,-29.155379,2.437570,1.048536,0.370793,0.243057,0.149063,0.072838,-0.041116,0.019432,-0.183201,-0.088728,-0.085890,-0.133975,0.039041,0.001007,0.054184,0.007424,0.017451,0.002739,0.062255,0.000448,0.001894,0.029790,0.060107,0.001365,0.044435,0.105052,0.036457,0.444861,0.095428,0.034722,0.643638,0.019341,0.191591,2.937923,0.902093,0.468459,0.389186,0.286101,0.263848,0.231974,0.248708,0.220739,0.220407,0.202214,0.209263,0.210356,0.046142,0.001478,0.050246,0.010867,0.016553,0.003455,0.054978,0.000716,0.002373,0.032752,0.051701,0.001796,0.018957,UBM_X
0.092543,0.024240,3.073933,0.166947,0.179336,0.639692,0.014044,0.129060,-26.368069,2.559988,-0.268625,-0.210752,-0.323282,0.058450,-0.099003,0.015874,-0.025224,-0.035335,-0.065057,0.054111,-0.033801,0.015571,0.008996,0.023882,0.021750,0.025939,0.015893,0.024775,0.005678,0.018294,0.016434,0.015376,0.008829,0.022639,0.045827,0.024056,0.260657,0.049422,0.031310,0.392371,0.008681,0.090814,2.117721,0.626688,0.686474,0.420593,0.363685,0.313744,0.280617,0.265032,0.258733,0.227186,0.215708,0.212877,0.197539,0.016543,0.011217,0.023498,0.024387,0.026454,0.020382,0.024554,0.009140,0.019946,0.014765,0.014635,0.011269,0.010566,UBM_X
0.103887,0.015590,3.099528,0.208649,0.230649,0.540531,0.012649,0.134909,-26.733534,3.049633,0.324998,0.521707,-0.103592,-0.088642,-0.118964,0.196173,0.222248,-0.068329,-0.121490,0.120742,-0.100430,0.011173,0.006848,0.016382,0.014407,0.076767,0.013633,0.027640,0.000785,0.006773,0.020197,0.030195,0.004701,0.029398,0.068991,0.014887,0.190229,0.067289,0.032135,0.377454,0.008782,0.138323,1.652591,0.539646,0.428883,0.309029,0.317815,0.235699,0.221148,0.199279,0.192955,0.196287,0.177837,0.169113,0.166549,0.012888,0.012513,0.015687,0.014539,0.045199,0.018043,0.024286,0.001273,0.010060,0.020484,0.024874,0.007309,0.009348,UBM_X
