@RELATION svm_Clinton_Bill_UBM_2684x2s
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {UBM_Clinton_Bill,Clinton, Bill}

@DATA
0.179187,0.006192,3.015956,0.272779,0.235967,1.238894,0.009348,0.298338,-29.775507,2.160469,0.151122,-0.269300,-0.009724,0.078412,-0.122752,0.068558,0.208700,0.131696,-0.217012,-0.014229,-0.101047,0.015375,0.007079,0.018613,0.015925,0.028802,0.006619,0.030637,0.002632,0.007974,0.020165,0.021704,0.009981,0.018432,0.094299,0.008076,0.317415,0.080184,0.024265,0.623291,0.007040,0.184994,2.265662,0.795324,0.578321,0.319225,0.375784,0.267168,0.253745,0.239962,0.228746,0.198528,0.194404,0.187833,0.195250,0.017275,0.009146,0.016128,0.015152,0.020360,0.007027,0.022981,0.003721,0.009724,0.019154,0.019519,0.011828,0.008711,UBM_Clinton_Bill
0.099696,0.007575,3.067565,0.180109,0.180404,0.784393,0.010113,0.156303,-29.651996,2.090999,-0.270348,-0.118729,-0.319082,0.329201,-0.195985,-0.006214,-0.170925,0.133304,0.013417,-0.081299,0.103711,0.011535,0.006790,0.012596,0.012149,0.030494,0.024545,0.030086,0.007061,0.011370,0.014724,0.027321,0.008747,0.019211,0.043705,0.011998,0.245713,0.038345,0.024060,0.355968,0.006963,0.091183,2.284555,0.518483,0.663112,0.408508,0.396884,0.301553,0.267764,0.234196,0.208977,0.206783,0.194238,0.182965,0.171739,0.011786,0.010112,0.011990,0.013679,0.021592,0.018961,0.019296,0.010189,0.013883,0.014994,0.018662,0.009571,0.007665,UBM_Clinton_Bill
0.100802,0.003459,3.084904,0.231404,0.233088,0.601689,0.011900,0.118247,-31.773047,2.069721,-0.176008,-0.494296,-0.454706,-0.029123,-0.172444,-0.024595,-0.009853,0.021636,-0.114032,-0.038614,0.032218,0.010428,0.007331,0.009484,0.008525,0.010168,0.009358,0.168802,0.002112,0.012777,0.012388,0.014639,0.007824,0.054326,0.045761,0.004993,0.223846,0.057578,0.033669,0.335878,0.009103,0.096558,2.623476,0.623565,0.607349,0.364244,0.369422,0.297035,0.252941,0.235542,0.219058,0.213865,0.210089,0.205464,0.209589,0.013846,0.011906,0.012036,0.011772,0.012932,0.013423,0.092173,0.003959,0.016108,0.015943,0.014769,0.012231,0.022911,UBM_Clinton_Bill
0.145093,0.007672,3.066021,0.242486,0.227201,1.075128,0.008832,0.253479,-29.660656,2.009739,0.455422,-0.125298,-0.163690,0.042220,-0.076846,-0.028109,-0.110385,0.048946,-0.122826,0.010269,-0.078246,0.015977,0.006070,0.026571,0.019317,0.019598,0.012059,0.033232,0.003313,0.012875,0.016081,0.033401,0.006760,0.019696,0.056338,0.009919,0.231386,0.055291,0.026474,0.449317,0.006249,0.120463,2.298357,0.568747,0.484036,0.267312,0.322900,0.281864,0.269636,0.246825,0.224013,0.210262,0.187810,0.188354,0.174450,0.016257,0.008420,0.020264,0.018991,0.016517,0.012388,0.021976,0.004656,0.015430,0.014527,0.023227,0.007766,0.007219,UBM_Clinton_Bill
0.103014,0.004214,3.117897,0.175581,0.187358,0.948106,0.009517,0.158879,-28.202300,2.273713,-0.441762,0.492983,-0.233610,-0.101949,-0.285280,-0.205100,-0.208705,0.085956,-0.124026,-0.045552,-0.076331,0.023750,0.006092,0.024809,0.018937,0.024821,0.022890,0.022736,0.004270,0.014127,0.018352,0.019941,0.008170,0.017974,0.039930,0.004968,0.166124,0.036158,0.021287,0.389836,0.006210,0.075356,1.284548,0.542113,0.461525,0.256148,0.282582,0.260441,0.249093,0.235544,0.197334,0.202093,0.165134,0.175679,0.161621,0.020672,0.006453,0.020914,0.017459,0.021575,0.021771,0.018309,0.005104,0.014425,0.013967,0.014682,0.008820,0.007625,UBM_Clinton_Bill
0.119246,0.005182,3.116845,0.198068,0.197764,1.104160,0.009916,0.187383,-28.544337,1.976076,-0.303478,0.406268,-0.123826,0.044828,-0.216368,-0.210105,-0.206315,-0.008761,-0.149780,-0.013497,-0.074698,0.020757,0.005129,0.024137,0.022760,0.024904,0.018792,0.020671,0.004568,0.010830,0.017140,0.021704,0.007151,0.018223,0.047636,0.006271,0.194568,0.042704,0.021159,0.441169,0.006517,0.089396,1.410986,0.617372,0.458175,0.325061,0.326863,0.272585,0.240237,0.236276,0.207645,0.194445,0.187502,0.181112,0.171800,0.019202,0.005766,0.021837,0.023924,0.024099,0.019885,0.016906,0.005227,0.010678,0.013931,0.017247,0.007422,0.008895,UBM_Clinton_Bill
0.133182,0.023699,2.646531,0.179137,0.146265,0.955032,0.015158,0.189756,-28.412414,1.429590,-0.729275,-0.378613,-0.837894,0.003806,-0.279867,-0.054924,-0.178259,-0.028378,-0.122922,-0.003069,-0.083346,0.012577,0.010069,0.014215,0.013284,0.013457,0.015585,0.017170,0.005462,0.012523,0.011732,0.012780,0.010256,0.013397,0.070559,0.037299,0.541906,0.058236,0.033981,0.566232,0.011235,0.103618,3.936272,1.585987,0.901723,0.491562,0.504487,0.445332,0.377337,0.303251,0.286618,0.233774,0.224623,0.205034,0.185358,0.013296,0.012160,0.014720,0.014062,0.014943,0.017931,0.019455,0.007723,0.014727,0.012484,0.013217,0.011454,0.009301,UBM_Clinton_Bill
0.173190,0.012408,3.092738,0.244049,0.201601,1.328215,0.009839,0.282420,-27.140474,1.596349,-0.013433,-0.436308,-0.185854,0.168637,-0.069565,-0.169417,-0.079726,0.004057,-0.011509,-0.063335,-0.136107,0.015831,0.005843,0.014703,0.010851,0.012111,0.014315,0.020996,0.007867,0.013334,0.017896,0.016583,0.008341,0.016582,0.080479,0.016203,0.266216,0.066754,0.027043,0.616377,0.006928,0.149265,2.107160,0.701227,0.705063,0.451348,0.376527,0.327204,0.272911,0.241047,0.231539,0.217865,0.208755,0.218252,0.219583,0.016476,0.007773,0.014871,0.012344,0.013383,0.016949,0.021633,0.012957,0.016711,0.017870,0.016589,0.011140,0.009738,UBM_Clinton_Bill
0.168433,0.004883,3.144548,0.267388,0.237150,1.374545,0.005917,0.308649,-26.979228,1.729078,-0.061138,0.056909,-0.551890,0.147262,0.100329,-0.077034,-0.150553,-0.107264,-0.109244,-0.042197,-0.000974,0.026680,0.008306,0.030377,0.019689,0.020525,0.013391,0.016370,0.004878,0.011478,0.008877,0.011861,0.007082,0.019254,0.075840,0.005724,0.152287,0.069588,0.037008,0.502612,0.003094,0.176802,1.780224,0.463106,0.588480,0.372049,0.413319,0.294505,0.287273,0.220092,0.235311,0.216843,0.212385,0.207756,0.188931,0.024336,0.009388,0.025738,0.020852,0.018270,0.015338,0.014610,0.006488,0.013294,0.008249,0.010636,0.009389,0.009526,UBM_Clinton_Bill
0.113476,0.018136,2.937918,0.187740,0.187190,0.742785,0.011975,0.167631,-27.025453,2.468078,0.081295,-0.396338,-0.956127,-0.121411,-0.134589,-0.078980,-0.065116,0.068383,-0.310103,-0.035422,-0.020635,0.020392,0.015269,0.019850,0.018874,0.019640,0.018854,0.025956,0.001561,0.010362,0.017408,0.020576,0.011895,0.018763,0.065962,0.019230,0.283090,0.059115,0.029347,0.500182,0.007644,0.126944,2.117007,0.646043,0.561015,0.308060,0.394315,0.305130,0.279630,0.253641,0.240993,0.199519,0.207839,0.178336,0.176051,0.020030,0.017791,0.017159,0.019276,0.018989,0.020642,0.021650,0.001839,0.010725,0.015631,0.017819,0.013699,0.008211,UBM_Clinton_Bill
