76,0,2
193,0,4
205,0,2
209,0,9
220,0,4
226,0,2
270,0,4
338,0,3
345,0,2
408,0,2
442,0,2
462,0,2
585,0,2
678,0,4
695,0,5
704,0,8
729,0,2
735,0,2
739,0,2
889,0,2
1000,0,5
1007,0,2
1127,0,2
1139,0,7
1152,0,4
1163,0,3
1170,0,4
1198,0,2
1214,0,13
1232,0,2
1239,0,3
1246,0,13
1359,0,2
1427,0,6
1513,0,9
1574,0,4
1604,0,2
1611,0,2
1615,0,4
1629,0,2
1633,0,4
1639,0,2
1684,0,5
1706,0,2
1712,0,2
1772,0,6
1780,0,7
1801,0,3
1820,0,2
1930,0,2
1996,0,10
2014,0,5
2024,0,2
2049,0,3
2058,0,4
2064,0,2
2076,0,2
2080,0,2
2092,0,2
2104,0,5
2159,0,2
2549,0,14
2814,0,2
2910,0,2
2941,0,2
2951,0,29
2982,0,2
2993,0,3
3035,0,13
3055,0,5
3065,0,11
3080,0,11
3111,0,2
3120,0,2
3126,0,7
3151,0,8
3165,0,6
3174,0,3
3184,0,5
3199,0,8
3220,0,3
3244,0,4
3253,0,12
3272,0,6
3324,0,2
3346,0,15
3384,0,10
3396,0,2
3407,0,2
3413,0,8
3424,0,8
3434,0,12
3450,0,8
3539,0,61
