71,0,3
79,0,7
88,0,5
100,0,4
114,0,2
120,0,10
139,0,4
145,0,3
151,0,3
158,0,2
164,0,2
177,0,2
200,0,5
279,0,4
288,0,2
292,0,2
298,0,2
397,0,9
411,0,3
690,0,2
702,0,4
727,0,2
736,0,4
745,0,4
765,0,2
782,0,4
789,0,2
795,0,3
891,0,2
963,0,2
1004,0,2
1008,0,2
1047,0,10
1069,0,5
1092,0,7
1104,0,2
1130,0,8
1143,0,2
1163,0,2
1209,0,2
1282,0,2
1298,0,2
1497,0,3
1594,0,2
1770,0,2
1780,0,2
1795,0,2
1802,0,2
1832,0,4
1912,0,2
1926,0,2
1937,0,5
1944,0,3
2367,0,2
2750,0,3
2768,0,4
2818,0,2
2895,0,5
2920,0,3
2942,0,57
3091,0,2
3148,0,2
3191,0,4
3199,0,6
3216,0,3
3299,0,4
3314,0,3
3343,0,5
3374,0,3
3385,0,7
3394,0,23
3468,0,5
3533,0,2
3578,0,7
