6,0,4
34,0,2
93,0,2
111,0,3
203,0,6
216,0,3
227,0,2
231,0,4
246,0,10
264,0,5
271,0,23
299,0,7
309,0,45
356,0,3
361,0,60
424,0,5
431,0,11
444,0,5
453,0,7
462,0,5
469,0,8
479,0,2
483,0,86
575,0,25
603,0,5
610,0,3
619,0,2
628,0,14
647,0,2
651,0,18
671,0,17
691,0,6
703,0,4
709,0,19
730,0,15
754,0,5
767,0,2
830,0,2
873,0,4
889,0,4
899,0,11
918,0,3
924,0,4
941,0,12
969,0,2
981,0,15
999,0,5
1010,0,13
1029,0,3
1035,0,15
1058,0,37
1098,0,25
1126,0,61
1192,0,7
1203,0,3
1208,0,3
1214,0,9
1231,0,9
1243,0,14
1262,0,24
1290,0,37
1329,0,4
1338,0,3
1346,0,8
1356,0,4
1365,0,2
1370,0,2
1375,0,17
1394,0,7
1405,0,3
1414,0,2
1425,0,6
1433,0,31
1470,0,13
1489,0,20
1515,0,9
1530,0,20
1553,0,8
1565,0,2
1569,0,19
1590,0,5
1597,0,13
1614,0,14
1630,0,3
1635,0,3
1640,0,8
1650,0,14
1666,0,2
1674,0,4
1684,0,4
