6,0,29
41,0,2
48,0,3
54,0,2
76,0,2
96,0,3
105,0,3
111,0,10
137,0,2
146,0,23
184,0,2
193,0,3
209,0,2
223,0,2
229,0,2
234,0,2
246,0,3
291,0,4
301,0,2
305,0,5
324,0,8
334,0,4
347,0,11
363,0,4
371,0,4
382,0,2
386,0,12
485,0,22
519,0,7
528,0,2
536,0,8
547,0,3
562,0,2
566,0,7
575,0,22
600,0,7
609,0,31
644,0,2
654,0,2
674,0,18
695,0,4
710,0,4
716,0,2
724,0,3
731,0,6
739,0,11
752,0,3
763,0,2
807,0,10
833,0,8
846,0,2
857,0,2
861,0,14
878,0,5
885,0,4
898,0,12
928,0,14
965,0,6
977,0,3
988,0,17
1011,0,6
1021,0,7
1033,0,2
1038,0,2
1052,0,2
1057,0,21
1080,0,3
1091,0,4
1098,0,3
1131,0,5
1141,0,6
1156,0,3
1167,0,2
1190,0,10
1203,0,4
1209,0,4
1217,0,7
1236,0,9
1258,0,3
1268,0,2
1285,0,5
1297,0,7
1330,0,4
1344,0,2
1367,0,3
1378,0,2
1387,0,5
1398,0,3
1407,0,4
1414,0,2
1425,0,8
1456,0,7
1465,0,3
1470,0,8
1481,0,2
1488,0,5
1502,0,17
1525,0,3
1548,0,8
1561,0,16
1586,0,10
1599,0,2
1603,0,8
1615,0,2
1620,0,6
1628,0,12
1642,0,6
1658,0,14
1690,0,9
1704,0,17
1723,0,4
1730,0,2
1738,0,6
1749,0,18
1769,0,14
1787,0,4
1793,0,24
1819,0,3
1827,0,32
1861,0,26
1889,0,7
1898,0,25
1927,0,21
1950,0,2
1954,0,4
1960,0,5
1978,0,4
1987,0,10
1999,0,12
2017,0,8
2029,0,10
2041,0,5
2076,0,2
2101,0,6
2110,0,5
2122,0,5
2130,0,3
2138,0,8
2148,0,3
2154,0,6
2163,0,6
2171,0,2
2180,0,8
2194,0,3
2205,0,3
2210,0,9
2222,0,3
2228,0,9
2247,0,2
2253,0,7
2266,0,23
2301,0,5
2318,0,3
2328,0,5
2345,0,8
2356,0,7
2366,0,4
2382,0,2
2389,0,14
2410,0,2
2414,0,2
2419,0,11
2432,0,3
2438,0,8
2449,0,2
2458,0,15
2496,0,4
2522,0,10
2535,0,40
2580,0,7
2593,0,8
2612,0,9
2625,0,2
2635,0,5
2647,0,5
2656,0,4
2672,0,6
2691,0,18
2712,0,2
2717,0,32
2753,0,2
2757,0,5
2770,0,3
2781,0,4
2795,0,4
2801,0,10
2813,0,17
2840,0,2
2848,0,7
2876,0,7
2896,0,13
2917,0,5
2927,0,6
2937,0,4
2962,0,2
2997,0,4
3003,0,5
3010,0,10
3028,0,7
3045,0,8
3058,0,2
3062,0,5
3071,0,5
3082,0,2
3090,0,4
3096,0,15
3114,0,2
3118,0,9
3149,0,2
3153,0,9
3214,0,2
3221,0,4
3230,0,6
3240,0,4
3246,0,2
3265,0,4
3273,0,8
3288,0,10
3301,0,5
3312,0,11
3327,0,2
3386,0,2
3401,0,4
3414,0,3
3425,0,6
3439,0,8
3451,0,4
3458,0,10
3470,0,12
3484,0,2
3488,0,3
3496,0,6
3506,0,2
3511,0,13
3526,0,2
3540,0,6
3558,0,2
3562,0,5
3581,0,20
3603,0,7
3613,0,2
3627,0,5
3649,0,8
3661,0,18
3681,0,21
3704,0,2
3709,0,2
3715,0,2
3719,0,4
3729,0,2
3734,0,2
3741,0,3
3747,0,2
3753,0,5
3760,0,2
3764,0,8
3774,0,2
3780,0,2
3796,0,10
3809,0,19
3831,0,44
3880,0,8
3891,0,30
