6,0,7
25,0,7
182,0,2
189,0,2
214,0,2
233,0,4
239,0,2
269,0,2
278,0,5
289,0,2
293,0,2
297,0,2
744,0,2
780,0,2
832,0,2
927,0,2
1038,0,2
1129,0,2
1204,0,2
1229,0,3
1257,0,2
1294,0,2
1556,0,2
1622,0,2
1634,0,2
1754,0,10
1775,0,2
1782,0,3
1807,0,6
1825,0,2
1851,0,2
1860,0,3
1869,0,2
1909,0,2
1913,0,3
1925,0,2
1937,0,4
1944,0,6
1956,0,2
1976,0,2
1983,0,2
1997,0,4
2007,0,2
2012,0,5
2060,0,2
2076,0,12
2111,0,2
2221,0,2
2234,0,4
2242,0,5
2256,0,2
2287,0,2
2313,0,4
2337,0,4
2431,0,2
2555,0,3
2569,0,2
2665,0,4
2687,0,2
2737,0,2
2796,0,4
2915,0,3
2921,0,2
3344,0,2
3492,0,2
3560,0,2
3621,0,3
3645,0,3
3658,0,2
3734,0,2
3743,0,3
3839,0,3
3896,0,2
3905,0,2
4360,0,2
4618,0,3
4632,0,2
4639,0,3
4666,0,2
4733,0,2
5400,0,2
5629,0,3
5682,0,6
5730,0,2
6020,0,2
6306,0,2
6671,0,2
6679,0,7
6690,0,12
6707,0,2
6722,0,2
6738,0,2
6742,0,2
6760,0,7
6779,0,4
6790,0,3
6874,0,3
6990,0,2
7013,0,5
7050,0,8
7116,0,2
7120,0,5
7127,0,11
7140,0,13
7230,0,7
