15,0,4
22,0,3
27,0,6
62,0,6
70,0,5
93,0,11
119,0,11
139,0,2
143,0,3
188,0,2
192,0,3
203,0,2
209,0,3
214,0,8
224,0,7
248,0,3
257,0,22
281,0,7
304,0,2
311,0,16
330,0,7
340,0,5
365,0,5
387,0,10
401,0,4
410,0,4
428,0,7
437,0,9
454,0,18
481,0,3
494,0,6
502,0,12
522,0,2
527,0,9
538,0,7
547,0,2
558,0,15
586,0,3
591,0,5
602,0,9
615,0,7
624,0,4
631,0,2
658,0,4
677,0,10
689,0,7
698,0,10
724,0,2
732,0,2
736,0,3
748,0,5
793,0,6
808,0,5
831,0,3
840,0,5
850,0,14
868,0,4
894,0,5
904,0,3
923,0,3
931,0,4
940,0,2
944,0,11
958,0,2
966,0,11
979,0,4
987,0,3
997,0,2
1014,0,9
1025,0,5
1056,0,10
1075,0,3
1088,0,37
1129,0,2
1137,0,12
1156,0,2
1162,0,2
1169,0,41
1213,0,7
1225,0,4
1241,0,2
1246,0,4
1255,0,22
1293,0,5
1313,0,8
1326,0,3
1331,0,2
1335,0,5
1355,0,6
1363,0,3
1368,0,10
1380,0,9
1393,0,3
1399,0,5
1406,0,19
1427,0,7
1457,0,2
1464,0,3
1472,0,13
1489,0,2
1496,0,5
1504,0,9
1517,0,1
