20,0,8
32,0,3
56,0,4
121,0,6
166,0,6
175,0,3
200,0,8
241,0,2
314,0,3
320,0,3
334,0,7
418,0,4
446,0,2
468,0,2
485,0,4
500,0,2
615,0,2
705,0,2
711,0,2
781,0,2
897,0,2
909,0,6
919,0,2
931,0,2
990,0,4
1005,0,2
1014,0,2
1019,0,9
1045,0,2
1049,0,13
1142,0,2
1253,0,2
1314,0,2
1385,0,2
1494,0,2
1499,0,11
1544,0,7
1631,0,2
1674,0,3
1680,0,4
1798,0,2
1994,0,2
2214,0,2
2231,0,2
2416,0,2
2933,0,2
2941,0,3
2982,0,2
3043,0,2
3102,0,5
3130,0,2
3134,0,2
3141,0,7
3155,0,2
3159,0,2
3169,0,2
3179,0,3
3221,0,2
3240,0,2
3250,0,2
3297,0,2
3332,0,2
3386,0,2
3407,0,2
3412,0,2
