32,0,2
86,0,2
176,0,2
200,0,2
776,0,3
944,0,3
1101,0,3
1109,0,4
1118,0,12
1140,0,18
1175,0,5
1226,0,8
1237,0,3
1246,0,9
1311,0,2
1339,0,2
1358,0,4
1386,0,4
1456,0,2
1530,0,3
1558,0,2
1639,0,2
1771,0,3
1776,0,5
1864,0,2
1942,0,2
1988,0,13
2024,0,15
2044,0,4
2063,0,3
2072,0,2
2077,0,2
2095,0,14
2116,0,6
2131,0,5
2138,0,8
2148,0,21
2176,0,14
2201,0,9
2214,0,20
2253,0,2
2259,0,14
2409,0,2
2587,0,3
2606,0,4
2613,0,2
2637,0,4
2656,0,4
2675,0,2
2698,0,2
2730,0,4
2761,0,6
2855,0,2
2861,0,3
2870,0,2
2883,0,17
2924,0,2
2941,0,4
2947,0,3
2968,0,2
2972,0,2
3449,0,2
3580,0,2
3584,0,1
