9,0,2
17,0,2
67,0,2
485,0,14
505,0,2
512,0,2
538,0,2
546,0,15
564,0,2
578,0,4
588,0,4
597,0,7
621,0,3
626,0,10
639,0,3
965,0,4
983,0,3
1207,0,2
1215,0,7
1225,0,6
1236,0,4
1251,0,19
1284,0,3
1316,0,4
1329,0,2
1336,0,4
1355,0,5
1390,0,4
1436,0,2
1443,0,2
1881,0,2
1898,0,2
2026,0,4
2032,0,2
2039,0,3
2050,0,3
2077,0,3
2084,0,2
2102,0,4
2132,0,11
2320,0,7
2338,0,4
2350,0,4
2365,0,4
2378,0,6
2394,0,8
2424,0,4
2436,0,2
2448,0,8
2472,0,3
2638,0,2
2642,0,2
3064,0,3
3232,0,4
3249,0,5
3262,0,4
3271,0,2
3287,0,2
3291,0,2
3301,0,5
3314,0,3
3324,0,4
3330,0,13
3353,0,4
3498,0,3
3535,0,2
3543,0,3
3568,0,10
