33,0,4
313,0,3
323,0,3
333,0,3
746,0,2
761,0,2
1159,0,2
1179,0,6
1241,0,7
1265,0,8
1294,0,2
1342,0,7
1368,0,2
1374,0,5
1394,0,3
1422,0,10
1474,0,3
1480,0,3
1557,0,13
1628,0,5
1824,0,8
1838,0,9
1856,0,2
1860,0,3
1874,0,2
1888,0,3
1911,0,5
1945,0,2
2107,0,4
2118,0,4
2201,0,2
2210,0,2
2221,0,2
2227,0,3
2234,0,28
2292,0,6
2307,0,3
2320,0,2
2336,0,3
2342,0,4
2359,0,2
2375,0,2
2380,0,4
2390,0,2
2395,0,4
2404,0,4
2411,0,6
2456,0,4
2464,0,12
2479,0,7
2490,0,2
2526,0,6
2593,0,2
2617,0,2
2638,0,6
2655,0,4
2667,0,8
2681,0,5
2688,0,7
2697,0,8
2707,0,11
2722,0,9
2733,0,11
2749,0,3
2755,0,3
2761,0,2
2769,0,3
2774,0,4
2797,0,10
2824,0,12
2843,0,2
2847,0,3
2875,0,5
2885,0,16
2903,0,3
2913,0,2
2920,0,5
2943,0,4
2949,0,2
2962,0,2
2994,0,3
3001,0,2
3198,0,2
3245,0,2
3305,0,6
3432,0,2
3463,0,2
3490,0,2
3532,0,6
3540,0,4
3546,0,4
3554,0,2
3560,0,2
3566,0,2
3571,0,4
3579,0,13
3605,0,4
3615,0,16
3637,0,4
3647,0,6
3661,0,2
3665,0,2
3700,0,2
3713,0,2
3717,0,5
3744,0,4
3753,0,3
3789,0,4
3818,0,3
3837,0,6
3848,0,3
3905,0,2
3915,0,9
3926,0,6
3936,0,5
3956,0,2
3963,0,5
3975,0,3
3980,0,5
3993,0,29
4025,0,22
4050,0,12
4070,0,4
4088,0,4
4111,0,5
4119,0,3
4124,0,4
4130,0,42
4174,0,2
4267,0,2
4316,0,3
4331,0,3
4339,0,2
4347,0,3
4353,0,2
4358,0,2
4395,0,11
4420,0,6
4440,0,6
4449,0,3
4460,0,3
4483,0,2
4497,0,5
4504,0,2
4508,0,2
4512,0,3
4520,0,5
4541,0,7
4566,0,10
4580,0,2
4590,0,2
4645,0,10
4702,0,2
4711,0,8
4724,0,4
4810,0,2
4834,0,2
4846,0,2
5016,0,2
5023,0,4
5144,0,2
5152,0,2
5184,0,2
5200,0,2
5207,0,8
5218,0,14
5243,0,3
5267,0,9
5279,0,4
5285,0,6
5297,0,2
5301,0,2
5311,0,8
5326,0,2
5330,0,11
