3,1,4
11,1,46
67,1,13
85,1,17
121,1,9
139,1,4
156,1,24
193,1,53
251,1,22
286,1,12
304,1,3
319,1,26
369,1,11
391,1,6
434,1,9
453,1,26
483,1,18
512,1,7
525,1,31
567,1,19
588,1,5
611,1,72
696,1,32
750,1,22
777,1,2
792,1,2
800,1,2
811,1,7
825,1,9
847,1,11
862,1,2
918,1,18
944,1,2
963,1,4
982,1,6
1128,1,4
1187,1,2
1214,1,4
1318,1,50
1380,1,11
1403,1,6
1411,1,3
1436,1,6
1447,1,7
1479,1,13
1550,1,2
1563,1,7
1575,1,7
1592,1,5
1608,1,15
1628,1,4
1642,1,9
1705,1,5
1844,1,15
1861,1,5
1870,1,4
1884,1,16
1918,1,6
1940,1,11
1958,1,8
2032,1,9
2069,1,2
2090,1,2
2127,1,2
2153,1,7
2202,1,4
2212,1,2
2397,1,2
2506,1,8
2631,1,4
2769,1,2
3153,1,20
3202,1,17
3230,1,8
3261,1,7
3272,1,2
3280,1,2
3289,1,7
3307,1,7
3338,1,4
3352,1,8
3362,1,18
